Mes;Total;Agropecuarios, alimentos y bebidas;Combustibles y Prod de industrias extractivas ;Manufacturas;Otros sectores 
nov-10;3.426.095;521.533;2.020.880;692.006;191.676
dic-10;3.845.531;638.552;2.126.363;785.011;295.606
ene-11;3.760.176;588.983;2.399.325;624.659;147.209
feb-11;3.958.572;571.450;2.490.214;711.034;185.875
mar-11;4.893.312;700.710;3.073.930;904.366;214.306
abr-11;4.823.094;643.431;3.174.020;789.604;216.039
may-11;5.153.710;666.436;3.456.529;801.353;229.393
jun-11;4.708.737;651.196;3.083.942;767.855;205.743
jul-11;4.866.229;477.354;3.393.823;766.948;228.103
ago-11;4.941.645;527.888;3.300.201;843.165;270.390
sep-11;4.582.401;486.298;3.027.040;823.887;245.176
oct-11;4.772.996;506.962;3.203.887;795.454;266.693
nov-11;5.147.330;607.460;3.450.436;796.213;293.221
dic-11;5.306.738;631.142;3.561.500;808.097;305.998
ene-12;4.785.773;558.473;3.359.880;665.607;201.813
feb-12;4.999.318;515.238;3.376.270;807.590;300.220
mar-12;5.712.355;637.819;3.919.588;877.170;277.778
abr-12;5.010.929;452.088;3.572.969;726.256;259.616
may-12;5.403.375;637.247;3.574.152;921.910;270.066
jun-12;4.563.431;532.865;2.937.966;800.041;292.558
jul-12;4.976.905;595.613;3.248.531;843.534;289.227
ago-12;4.570.780;583.745;2.788.859;895.737;302.438
sep-12;4.910.403;506.441;3.255.273;831.409;317.280
oct-12;5.432.930;576.573;3.643.932;874.053;338.372
nov-12;4.807.338;551.990;3.062.842;908.123;284.384
dic-12;4.951.628;480.717;3.376.174;802.495;292.241
ene-13;4.849.196;505.894;3.290.902;749.621;302.779
feb-13;4.667.767;520.742;3.070.434;831.033;245.559
mar-13;4.617.842;526.413;3.069.347;767.031;255.053
abr-13;4.949.487;661.266;3.157.209;889.826;241.186
may-13;5.332.470;610.393;3.545.218;985.416;191.444
jun-13;4.870.839;544.563;3.325.817;822.531;177.928
jul-13;4.652.297;529.143;3.142.914;825.660;154.580
ago-13;4.977.706;556.947;3.568.929;740.143;111.686
sep-13;4.849.996;515.084;3.356.514;820.769;157.629
oct-13;4.837.983;550.395;3.262.434;889.041;136.113
nov-13;4.948.665;572.077;3.429.825;805.904;140.860
dic-13;5.272.122;587.418;3.705.943;818.473;160.288
ene-14;4.808.832;496.111;3.554.979;636.234;121.508
feb-14;4.271.442;595.891;2.812.865;736.736;125.950
mar-14;4.408.181;557.087;2.939.245;746.076;165.773
abr-14;4.316.676;640.583;2.833.774;713.929;128.390
may-14;5.495.867;736.007;3.820.661;811.259;127.939
jun-14;4.704.814;604.038;3.258.870;719.824;122.082
jul-14;5.048.930;653.973;3.343.497;912.872;138.588
ago-14;4.813.091;616.496;3.263.028;817.103;116.464
sep-14;5.077.247;630.800;3.437.872;862.605;145.970
oct-14;4.322.278;597.312;2.771.779;826.703;126.485
nov-14;3.794.686;637.713;2.284.604;771.893;100.476
dic-14;3.794.711;577.031;2.201.975;835.582;180.123
ene-15;2.916.976;626.019;1.603.209;591.409;96.339
feb-15;3.160.957;636.707;1.821.877;664.958;37.415
mar-15;3.461.944;623.905;2.041.249;707.761;89.028
abr-15;3.219.706;595.881;1.802.628;706.788;114.410
may-15;3.381.084;584.285;1.993.906;733.115;69.778
jun-15;3.217.408;481.215;1.819.366;799.678;117.148
jul-15;3.043.778;608.181;1.586.813;745.286;103.498
ago-15;2.868.451;533.163;1.555.475;675.091;104.722
sep-15;2.898.168;625.450;1.452.753;728.338;91.626
oct-15;2.815.522;552.597;1.509.823;660.625;92.477
nov-15;2.444.535;511.273;1.227.965;621.435;83.861
dic-15;2.588.994;555.963;1.202.726;726.586;103.719
ene-16;1.919.053;433.952;923.139;487.423;74.539
feb-16;2.328.723;634.164;1.021.547;582.779;90.233
mar-16;2.334.998;609.666;1.032.041;595.090;98.201
abr-16;2.463.793;694.412;1.084.946;595.974;88.461
may-16;2.751.470;582.966;1.405.690;662.487;100.328
jun-16;2.780.512;564.851;1.510.722;627.633;77.306
jul-16;2.266.997;398.592;1.320.327;460.026;88.052
ago-16;3.044.377;515.677;1.582.507;825.095;121.099
sep-16;2.797.686;524.664;1.397.914;693.902;181.206
oct-16;2.770.014;480.854;1.431.113;682.497;175.549
nov-16;2.833.622;587.726;1.362.767;651.850;231.279
dic-16;3.477.094;837.224;1.728.854;661.352;249.664
ene-17;2.785.044;537.259;1.637.140;486.556;124.090
feb-17;2.716.024;566.750;1.447.488;523.155;178.631
mar-17;3.300.421;787.523;1.694.794;643.487;174.616
abr-17;2.697.992;552.715;1.496.954;509.615;138.708
may-17;3.505.436;720.055;1.916.451;691.552;177.377
jun-17;2.895.612;601.227;1.463.245;663.638;167.502
jul-17;3.125.483;630.959;1.687.646;678.998;127.881
ago-17;3.191.598;629.979;1.695.027;732.925;133.667
sep-17;3.389.679;622.068;1.945.122;692.336;130.152
oct-17;3.277.516;584.371;1.837.678;704.861;150.606
