Mes;Union Europea;Canada;Estados Unidos;Mexico;Bolivia;Ecuador;Peru;Argentina;Brasil;Paraguay;Uruguay;Venezuela;China;Japon;India;Panama;Resto de paises;Total Exportaciones;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sep-09; 401.959 ; 23.674 ; 1.247.166 ; 37.265 ; 11.533 ; 113.846 ; 71.156 ; 9.160 ; 56.182 ; 584 ; 799 ; 231.033 ; 31.205 ; 27.665 ; 10.835 ; 28.665 ; 493.257 ; 2.795.983 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
oct-09; 390.489 ; 36.267 ; 1.309.175 ; 43.394 ; 10.414 ; 112.760 ; 78.350 ; 13.108 ; 62.300 ; 548 ; 1.667 ; 195.471 ; 114.894 ; 27.317 ; 67.334 ; 23.535 ; 461.662 ; 2.948.687 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov-09; 402.713 ; 26.845 ; 1.135.993 ; 49.163 ; 6.870 ; 113.519 ; 63.809 ; 5.233 ; 47.357 ; 574 ; 1.391 ; 191.745 ; 186.136 ; 24.634 ; 17.524 ; 22.157 ; 565.631 ; 2.861.294 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dic-09; 421.619 ; 32.171 ; 1.416.559 ; 63.703 ; 7.618 ; 137.386 ; 80.511 ; 7.105 ; 89.711 ; 959 ; 2.006 ; 147.909 ; 125.593 ; 31.449 ; 139.330 ; 28.635 ; 450.708 ; 3.182.972 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ene-10; 450.670 ; 26.198 ; 1.239.545 ; 43.350 ; 8.148 ; 86.174 ; 72.500 ; 7.139 ; 53.923 ; 1.441 ; 160 ; 95.824 ; 156.796 ; 32.106 ; 8.202 ; 31.230 ; 600.028 ; 2.913.433 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
feb-10; 427.440 ; 33.283 ; 1.206.495 ; 33.391 ; 7.868 ; 120.738 ; 68.169 ; 4.910 ; 45.911 ; 376 ; 335 ; 131.049 ; 160.049 ; 30.844 ; 85.399 ; 30.670 ; 482.228 ; 2.869.156 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar-10; 417.527 ; 39.752 ; 1.398.553 ; 56.703 ; 6.156 ; 149.320 ; 89.996 ; 7.792 ; 70.827 ; 714 ; 1.192 ; 153.310 ; 98.664 ; 56.175 ; 142.843 ; 32.025 ; 616.354 ; 3.337.903 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr-10; 365.340 ; 76.290 ; 1.546.574 ; 83.043 ; 7.763 ; 146.897 ; 81.609 ; 8.926 ; 93.615 ; 654 ; 1.016 ; 127.345 ; 350.901 ; 39.878 ; 19.659 ; 36.501 ; 504.967 ; 3.490.978 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
may-10; 376.687 ; 55.542 ; 1.354.431 ; 49.960 ; 8.353 ; 153.679 ; 132.939 ; 11.518 ; 95.275 ; 376 ; 1.923 ; 144.712 ; 199.614 ; 44.260 ; 74.425 ; 35.851 ; 773.785 ; 3.513.331 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun-10; 407.333 ; 31.554 ; 1.238.777 ; 45.793 ; 7.240 ; 166.487 ; 88.183 ; 7.433 ; 76.830 ; 1.207 ; 772 ; 107.520 ; 151.487 ; 47.294 ; 3.356 ; 100.822 ; 578.542 ; 3.060.628 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul-10; 307.246 ; 70.119 ; 1.481.688 ; 51.806 ; 9.748 ; 151.611 ; 103.465 ; 12.115 ; 105.974 ; 790 ; 397 ; 90.326 ; 133.273 ; 38.007 ; 822 ; 52.297 ; 547.941 ; 3.157.626 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
