Mes;Union Europea;Canada;Estados Unidos;Mexico;Bolivia;Ecuador;Peru;Argentina;Brasil;Paraguay;Uruguay;Venezuela;China;Japon;India;Panama;Resto de paises;Total Exportaciones
ago-13;1009087;24771;1574585;62029;11667;132957;136907;16968;84926;2067;1774;176720;469058;40137;115317;277152;841582;4977706
sep-13;832388;23840;1440112;62133;11908;158876;84497;33772;191376;697;1292;198106;354423;30545;216118;189492;1020422;4849996
oct-13;750472;27431;1618584;64742;13667;172859;104764;24422;221441;3451;1001;233563;238120;25761;304144;204853;828711;4837983
nov-13;701761;35749;924396;83310;11793;160119;86537;21475;136295;910;1037;227777;783603;23657;457795;367706;924746;4948665
dic-13;935473;58190;1232186;92185;13982;170102;96768;26846;128056;2257;7250;132817;611644;41737;148722;504309;1069596;5272122
ene-14;789061;46222;1298224;62936;7847;120222;110042;20954;104048;1112;1036;248553;543360;27319;583775;266220;577900;4808832
feb-14;591391;39472;1304744;88485;9203;160709;77224;10588;93197;1250;1014;181989;455824;32618;329846;358309;535578;4271442
mar-14;585584;80212;1050397;101392;10851;153946;95034;17167;117560;1187;995;113603;313838;23582;394635;621975;726223;4408181
abr-14;661739;33378;1113350;83934;8889;145327;89008;12149;102063;2207;759;143278;734692;38119;225008;290949;631827;4316676
may-14;1449162;58635;1404186;83080;11878;159383;126555;25188;243141;1365;1022;181988;565885;42184;10183;360099;771933;5495867
jun-14;923246;31458;960960;63279;11070;140236;77235;14438;215631;2088;1862;142191;862165;35170;216872;193637;813278;4704814
jul-14;798180;39630;1197552;72956;13898;170492;115674;16039;144167;1559;4645;161726;455947;42999;246168;337034;1230265;5048930
ago-14;740487;37332;1332527;74013;12884;152328;129743;17294;132432;1416;1806;187253;618441;38440;186911;112155;1037628;4813091
sep-14;982075;149302;1326018;81697;14213;167337;99637;14156;135453;1576;1933;155018;336796;29018;167598;344471;1070947;5077247
oct-14;696503;50844;1055986;84349;14492;172221;98172;14150;95396;2253;2231;152437;519424;38621;76884;218293;1030022;4322278
nov-14;613091;37978;989903;54259;11635;158257;77804;25914;103644;821;2368;193138;136040;41564;247410;365903;734960;3794686
dic-14;582142;60322;1189881;64037;11913;187154;90499;13085;135681;1895;1439;125765;212724;31270;53409;199070;834429;3794711
ene-15;442849;53891;703647;48714;10861;107088;74103;10592;125127;911;7363;79294;316824;45234;98254;172591;619633;2916976
feb-15;555535;28613;950440;50030;11179;159407;108307;17531;80954;1493;1618;127615;78793;34461;5164;291408;658408;3160957
mar-15;671986;46272;973919;82514;13302;129790;91372;9855;110289;895;2178;106325;188560;37158;4996;180013;812521;3461944
abr-15;478728;22970;911116;73955;11737;159316;88019;10615;113845;2892;1263;124730;278077;32699;159132;120313;630298;3219706
may-15;509903;33815;902220;68472;12326;121755;160376;16887;106855;1663;2218;88813;260786;41162;3171;423520;627140;3381084
jun-15;593002;48273;887426;147901;12594;128884;87367;13427;84985;2208;1168;104953;223339;31467;8100;171268;671046;3217408
jul-15;557995;32200;926306;70700;11904;113738;89169;14510;106626;1143;1575;79176;153461;43585;6199;137396;698095;3043778
ago-15;437013;34425;768153;79000;12157;101590;89204;10170;85720;1366;1826;94595;204674;102680;42221;179871;623787;2868451
sep-15;478484;53076;855623;77439;13120;114462;86863;12663;107104;1590;2028;59499;145026;40916;89046;148491;612740;2898168
oct-15;457233;19600;746616;65794;14193;109333;92961;10675;103338;5101;2302;73859;153055;36342;10715;276947;637459;2815522
nov-15;404422;24201;587242;69717;11997;105938;80147;12880;70551;1106;2492;74090;168338;25106;48844;198753;558711;2444535
dic-15;420898;19690;795624;80023;13846;119183;100190;10850;94492;2211;3731;47224;132034;49147;74627;128091;497133;2588994
ene-16;269051;15304;678398;45032;8763;67689;52657;7783;53888;1088;3196;75239;100682;20775;8417;83673;427419;1919053
feb-16;446492;26077;810647;59350;9286;91750;98180;11743;61968;1913;1015;97454;99315;17327;6553;95368;394285;2328723
mar-16;338852;30926;827210;82019;13067;89136;84538;10723;58103;2370;1198;83305;104056;27129;33097;125201;424069;2334998
abr-16;484159;42934;778126;89830;8961;84918;77170;13240;60385;1442;937;55457;157873;60672;25139;95752;426798;2463793
may-16;465089;22981;1046973;87648;11896;98473;83592;9367;82453;4177;908;62172;78152;32294;47020;122841;495433;2751470
jun-16;464500;46757;936104;90069;11428;69573;88367;8358;69952;1665;1607;34749;148640;35939;11012;176085;585707;2780512
jul-16;291295;39517;828061;43735;7037;69100;49487;7576;79876;1472;1263;25091;136857;27066;5546;125485;528533;2266997
ago-16;568682;23474;878696;95537;16019;135025;100435;39774;138658;1505;1380;69056;53749;35657;13240;242063;631428;3044377
sep-16;385761;26627;784874;85670;15666;116964;98596;17693;89383;2037;1874;35688;89197;31155;14973;183652;817876;2797686
oct-16;349256;36955;789120;84579;10700;115931;127724;12911;138619;1281;2137;28948;186976;30654;16446;166014;671763;2770014
